Id;Label
oberst;Oberst
ida;Ida
oldendorf;Oldendorf
senden;Senden
karl;Karl
blumenberg;Blumenberg
schmock;Schmock
adelheid;Adelheid Runeck
korb;Korb
bolz;Conrad Bolz
mueller;Müller
bellmaus;Bellmaus
kaempe;Kämpe
henning;Buchdrucker Henning
pavoni;Madame Pavoni
gast;Gast
piepenbrink;Piepenbrink
frau_piepenbrink;Frau Piepenbrink
kleinmichel;Kleinmichel
fritz_kleinmichel;Fritz Kleinmichel
berta;Berta
koerner;Körner
schwarz;Schwarz
conrad;Conrad
