Id;Label
schoen;Schön
anna;Anna
hutterer;Hutterer
sidonie;Sidonie
frey;Frey
hedwig;Hedwig
eduard;Eduard
barbara;Barbara
johann;Johann
michel;Michel
josepha;Josepha
stolzenthaler;Stolzenthaler
schalanter;Schalanter
martin;Martin
herwig;Herwig
beller;Beller
hoeller;Höller
stoetzl;Stötzl
katscher;Katscher
resi;Resi
berger;Berger
minna;Minna
stille;Stille
mostinger;Mostinger
sedlberger;Sedlberger
alle_3-4;Alle (III/4)
tomerl;Tomerl
kraft;Kraft
werner;Werner
seeburger;Seeburger
stoeber;Stöber
atzwanger;Atzwanger
