Id;Label
brasidas;Brasidas
alitta;Alitta
hanna;Hanna
ausrufer_von_mehreren_seiten;Ausrufer von mehreren Seiten
marktweiber;Marktweiber
andere_marktweiber;Andere Marktweiber
marktjunge;Ein Marktjunge
marktweib;Marktweib
ein_anderes_marktweib;Ein anderes Marktweib
ein_karthager_1-2;Ein Karthager (I/2)
kaufherr;Ein Kaufherr
erster_sklavenhaendler;Erster Sklavenhändler
erster_zierbengel;Erster Zierbengel
zweiter_zierbengel;Zweiter Zierbengel
zweiter_sklavenhaendler;Zweiter Sklavenhändler
ein_voruebergehender;Ein Vorübergehender
ein_alter_mann;Ein alter Mann
ein_bote_1-2;Ein Bote (I/2)
viele_1-2;Viele (I/2)
der_fuehrende_scheich;Der führende Scheich
zollbediente;Zollbediente
ein_zollbedienter;Ein Zollbedienter
melkir;Melkir
hanno;Hanno
gisgon;Gisgon
erster_konsul;Erster Konsul
praetor;Prätor
zweiter_konsul;Zweiter Konsul
ein_senator;Ein Senator
kato_zensor;Kato Zensor
alle_1-4;Alle (I/4)
mehrere_senatoren;Mehrere Senatoren
tribunen;Tribunen
ein_kurulischer_aedil;Ein kurulischer Ädil
der_senat;Der Senat
scipio_der_juengere;Scipio der Jüngere
scipio_der_aeltere;Scipio der Ältere
ein_liktor_1-4;Ein Liktor (I/4)
hannibal;Hannibal
turnu;Turnu
ein_bote_1-5;Ein Bote (I/5)
terenz;Terenz
ein_gefangener;Ein Gefangener
das_weib_2-1;Das Weib (II/1)
ein_knabe_2-1;Ein Knabe (II/1)
ein_liktor_2-1;Ein Liktor (II/1)
ein_soldat_2-1;Ein Soldat (II/1)
allochlin;Allochlin
seine_begleiter;Seine Begleiter
die_braut;Die Braut
keltiberier;Keltiberier
das_heer;Das Heer
ein_bote_2-2;Ein Bote (II/2)
erster_buerger;Erster Bürger
zweiter_buerger;Zweiter Bürger
dritter_buerger;Dritter Bürger
despot;Despot
fabius_maximus;Fabius Maximus
reiterfeldherr;Reiterfeldherr
ein_flamen;Ein Flamen
alle_3-3;Alle (III/3)
ein_greis;Ein Greis
die_juenglinge;Die Jünglinge
die_maedchen;Die Mädchen
ein_atellan;Ein Atellan
heransprengende_reiter;Heransprengende Reiter
ein_numidier;Ein Numidier
das_maedchen;Das Mädchen
die_menge_3-3;Die Menge (III/3)
der_junge_punier;Der junge Punier
der_roemer;Der Römer
alle_umstehende;Alle Umstehende
erster_sklav;Erster Sklav
sklaven_3-4;Die Sklaven (III/4)
zweiter_sklav;Zweiter Sklav
die_balearischen_schleuderer;Die balearischen Schleuderer
ein_sklav_3-5a;Ein Sklav (III/5)
ein_vornehmer_kapuaner;Ein vornehmer Kapuaner
sklaven_3-5;Die Sklaven (III/5)
ein_sklav_3-5b;Ein Sklav (III/5)
stimmen_der_kommandierenden_flottenoffiziere;Stimmen der kommandierenden Flottenoffiziere
soldat_3-7;Soldat (III/7)
erster_gesandter_3-7;Erster Gesandter (III/7)
zweiter_gesandter_3-7;Zweiter Gesandter (III/7)
matrosen;Matrosen
ein_vertrauter_diener_melkirs;Ein vertrauter Diener Melkirs
der_hauptmann_hannibals;Der Hauptmann Hannibals
volk_4-2;Volk (IV/2)
ein_mann;Ein Mann
ein_anderer;Ein Anderer
herold;Herold
ein_karthager_4-2;Ein Karthager (IV/2)
viele_4-2;Viele (IV/2)
die_menge_4-2;Die Menge (IV/2)
barkas;Barkas
ein_velit;Ein Velit
erster_karthagischer_abgeordneter;Erster karthagischer Abgeordneter
pfoertner;Pförtner
knabe_4-6;Knabe
ein_weib_4-7;Ein Weib
ein_priester;Ein Priester
ein_zweiter_priester;Ein zweiter Priester
volk_4-7;Volk (IV/7)
ein_krieger;Ein Krieger
roemischer_gesandter;Römischer Gesandter
ein_sklav_4-8;Ein Sklav (IV/8)
hausmeister;Hausmeister
zweiter_roemischer_gesandter;Zweiter römischer Gesandter
sklaven_4-8;Die Sklaven (IV/8)
prusias;Prusias
hoefling_5-1;Ein Höfling (V/1)
protovestiar;Protovestiar
der_leibpage;Der Leibpage
maler;Maler
hoefling_5-3;Ein Höfling (V/3)
flamininus;Flamininus
ein_sklav_5-4;Ein Sklav (V/4)
das_gefolg;Das Gefolg
