Id;Label
chor_der_alten_zauberer;Chor der alten Zauberer
stellaris;Stellaris
mystifax;Mystifax
lumpazi;Lumpazi
fludribus;Fludribus
die_soehne;Die Söhne
die_vaeter;Die Väter
hilaris;Hilaris
fortuna;Fortuna
alle_1-2;Alle (I/2)
brillantine;Brillantine
amorosa;Amorosa
chor;Chor
leim;Leim
knieriem;Knieriem
zwirn;Zwirn
alle_1-5;Alle (I/5)
fassel;Fassel
hannerl;Hannerl
handwerksbursch;Handwerksbursch
pantsch;Pantsch
stimmen;Stimmen (von außen)
sepherl;Sepherl
hausierer;Hausierer
alle_1-8;Alle (I/8)
alle_weiber;Alle Weiber
ein_zimmermann;Ein Zimmermann
alle_1-10;Alle (I/10)
fremder;Fremder
gertraud;Gertraud
hobelmann;Hobelmann
peppi;Peppi
alle_2-7;Alle (II/7)
strudl;Strudl
erster_bedienter;Erster Bedienter
erster_gesell;Erster Gesell
zweiter_gesell;Zweiter Gesell
zweiter_bedienter;Zweiter Bedienter
maler;Maler
hackauf;Hackauf
windwachel;Windwachel
lueftig;Lüftig
palpiti;Palpiti
camilla;Camilla
laura;Laura
chor_der_gesellschaft;Chor der Gesellschaft
reserl;Reserl
wirtin;Wirtin
alle_bauern;Alle Bauern
alle_gesellen;Alle Gesellen
alle_3-17;Alle (III/17)
