Source;Target;Type;Weight
ci-devant_genius_der_zeit;die_unbehuelflichen;Undirected;1
bettler;erster_schueler;Undirected;1
einige_handwerksburschen;erstes_dienstmaedchen;Undirected;1
irrlichter;sternschnuppe;Undirected;1
bettler;zweiter_schueler;Undirected;1
hennings;solo;Undirected;1
ein_paerchen;orthodox;Undirected;1
stimme_4;stimme_6;Undirected;1
kapellmeister;matrone;Undirected;1
die_massiven;dogmatiker;Undirected;1
der_herr;gabriel;Undirected;1
die_gewandten;windfahne;Undirected;1
bauern_unter_der_linde;erster_schueler;Undirected;1
die_massiven;geist_der_sich_erst_bildet;Undirected;1
orchester;sternschnuppe;Undirected;1
junge_hexe;sternschnuppe;Undirected;1
autor;stimme_2;Undirected;1
junge_hexe;nordischer_kuenstler;Undirected;1
orthodox;windfahne;Undirected;1
die_hexe;faust;Undirected;1
herold;solo;Undirected;1
fünfter_handwerksbursch;zweiter_schueler;Undirected;1
musaget;theatermeister;Undirected;1
ci-devant_genius_der_zeit;geist_der_sich_erst_bildet;Undirected;1
die_alte;stimme_2;Undirected;1
faust;stimme_9;Undirected;1
andre_handwerksburschen;soldaten;Undirected;1
oberon;skeptiker;Undirected;1
die_alte;troedelhexe;Undirected;1
die_andre;faust;Undirected;1
ein_paerchen;matrone;Undirected;1
buergermaedchen;einige_handwerksburschen;Undirected;1
die_alte;halbhexe;Undirected;1
general;irrlicht;Undirected;1
gretchen;valentin;Undirected;1
die_alte;stimme_8;Undirected;1
idealist;xenien;Undirected;1
ci-devant_genius_der_zeit;titania;Undirected;1
kapellmeister;sternschnuppe;Undirected;1
die_massiven;oberon;Undirected;1
die_unbehuelflichen;realist;Undirected;1
geist_der_sich_erst_bildet;oberon;Undirected;1
irrlicht;stimme_6;Undirected;1
dogmatiker;irrlichter;Undirected;1
faust;general;Undirected;1
kapellmeister;skeptiker;Undirected;1
ariel;neugieriger_reisender;Undirected;1
parvenu;stimme_7;Undirected;1
kranich;neugieriger_reisender;Undirected;1
purist;skeptiker;Undirected;1
parvenu;stimme_9;Undirected;1
stimme_7;stimme_9;Undirected;1
die_alte;minister;Undirected;1
ci-devant_genius_der_zeit;fideler;Undirected;1
faust;marthe;Undirected;3
mephistopheles;stimme_5;Undirected;1
ein_paerchen;sternschnuppe;Undirected;1
die_unbehuelflichen;sternschnuppe;Undirected;1
fideler;tanzmeister;Undirected;1
alter_bauer;die_andre;Undirected;1
oberon;supernaturalist;Undirected;1
stimme_6;stimme_9;Undirected;1
realist;skeptiker;Undirected;1
ein_paerchen;oberon;Undirected;1
hennings;theatermeister;Undirected;1
alter_bauer;andrer_buerger;Undirected;1
dogmatiker;junge_hexe;Undirected;1
alte;die_andre;Undirected;1
die_schoene;general;Undirected;1
alle_vor_dem_tor;vierter_handwerksbursch;Undirected;1
nordischer_kuenstler;orchester;Undirected;1
parvenu;stimme_2;Undirected;1
orchester;theatermeister;Undirected;1
bauern_unter_der_linde;zweiter_schueler;Undirected;1
idealist;orchester;Undirected;1
buerger;zweiter_schueler;Undirected;1
geist_der_sich_erst_bildet;neugieriger_reisender;Undirected;1
die_schoene;stimme_2;Undirected;1
matrone;purist;Undirected;1
bettler;wagner;Undirected;1
die_gewandten;puck;Undirected;1
general;troedelhexe;Undirected;1
einige_handwerksburschen;zweiter_handwerksbursch;Undirected;1
nordischer_kuenstler;taenzer;Undirected;1
matrone;musaget;Undirected;1
orchester;puck;Undirected;1
supernaturalist;weltkind;Undirected;1
alter_bauer;dritter_buerger;Undirected;1
alter_bauer;einige_handwerksburschen;Undirected;1
andre_handwerksburschen;vierter_handwerksbursch;Undirected;1
faust;stimmen;Undirected;1
ariel;sternschnuppe;Undirected;1
orthodox;solo;Undirected;1
geist_der_sich_erst_bildet;irrlichter;Undirected;1
musaget;taenzer;Undirected;1
alter_bauer;ein_dritter_handwerksbursch;Undirected;1
michael;raphael;Undirected;1
idealist;tanzmeister;Undirected;1
orthodox;xenien;Undirected;1
alter_bauer;erstes_dienstmaedchen;Undirected;1
irrlicht;stimme_9;Undirected;1
purist;taenzer;Undirected;1
realist;sternschnuppe;Undirected;1
andrer_buerger;ein_dritter_handwerksbursch;Undirected;1
dogmatiker;tanzmeister;Undirected;1
general;mephistopheles;Undirected;1
fideler;weltkind;Undirected;1
geist_der_sich_erst_bildet;kranich;Undirected;1
fideler;solo;Undirected;1
die_andre;erstes_dienstmaedchen;Undirected;1
der_kater;die_tiere;Undirected;1
ariel;solo;Undirected;1
musaget;titania;Undirected;1
autor;stimmen;Undirected;1
matrone;titania;Undirected;1
gretchen;volk;Undirected;1
ein_paerchen;herold;Undirected;1
fideler;oberon;Undirected;1
junge_hexe;titania;Undirected;1
dritter_buerger;faust;Undirected;1
die_unbehuelflichen;herold;Undirected;1
die_unbehuelflichen;dogmatiker;Undirected;1
buergermaedchen;zweiter_handwerksbursch;Undirected;1
stimme_8;stimmen;Undirected;1
die_unbehuelflichen;purist;Undirected;1
dogmatiker;idealist;Undirected;1
die_massiven;junge_hexe;Undirected;1
die_schoene;stimmen;Undirected;1
general;proktophantasmist;Undirected;1
tanzmeister;titania;Undirected;1
alte;buerger;Undirected;1
autor;faust;Undirected;1
bauern_unter_der_linde;einige_handwerksburschen;Undirected;1
orchester;solo;Undirected;1
ariel;musaget;Undirected;1
andre_handwerksburschen;buergermaedchen;Undirected;1
die_andre;fünfter_handwerksbursch;Undirected;1
matrone;xenien;Undirected;1
buergermaedchen;dritter_buerger;Undirected;1
andres_dienstmaedchen;erstes_dienstmaedchen;Undirected;1
fideler;puck;Undirected;1
kapellmeister;theatermeister;Undirected;1
junge_hexe;neugieriger_reisender;Undirected;1
skeptiker;tanzmeister;Undirected;1
fideler;neugieriger_reisender;Undirected;1
vierter_handwerksbursch;zweiter_schueler;Undirected;1
hexen;servibilis;Undirected;1
realist;taenzer;Undirected;1
junge_hexe;orchester;Undirected;1
die_unbehuelflichen;matrone;Undirected;1
kapellmeister;neugieriger_reisender;Undirected;1
general;stimme_5;Undirected;1
sternschnuppe;windfahne;Undirected;1
einige_handwerksburschen;faust;Undirected;1
ci-devant_genius_der_zeit;purist;Undirected;1
hexen;stimme_2;Undirected;1
ein_dritter_handwerksbursch;ein_handwerksbursch;Undirected;1
bauern_unter_der_linde;ein_handwerksbursch;Undirected;1
die_schoene;stimme_4;Undirected;1
mephistopheles;volk;Undirected;1
stimme_1;stimme_7;Undirected;1
mephistopheles;schüler;Undirected;1
