Id;Label
mariane;Mariane
charlotte;Charlotte
stolzius;Stolzius
mutter;Stolzius' Mutter
desportes;Desportes
wesener;Wesener
der_junge_graf;Der junge Graf (von Spannheim)
haudy;Haudy
hofmeister;Hofmeister
eisenhardt;Eisenhardt
obrister;Obrister
mary;Mary
pirzel;Pirzel
einer_aus_der_gesellschaft_2-2a;Einer aus der Gesellschaft
ein_anderer_aus_der_gesellschaft;Ein Anderer aus der Gesellschaft
zwei_drei_aus_dem_haufen;Zwei, drei aus dem Haufen
einer_2-2a;Einer
einer_2-2b;Einer
rammler;Rammler
einer_aus_dem_haufen;Einer aus dem Haufen
einer_aus_der_gesellschaft_2-2b;Einer aus der Gesellschaft
einer_2-2c;Einer
ein_andrer;Ein Andrer
alle_2-2;Alle (II/2)
jungfer_zipfersaat;Jungfer Zipfersaat
weseners_alte_mutter;Weseners alte Mutter
aaron;Aaron
magd;Magd
frau_wesener;Frau Wesener
graefin;Gräfin de la Roche
bedienter;Bedienter
junger_graf;Junger Graf (de la Roche)
jaeger;Jäger
mademoiselle_bischof;Mademoiselle Bischof
madame_bischof;Madame Bischof
gilbert;Gilbert
alle_offiziers;Alle Offiziers
