Id;Label
franz_von_moor;Franz von Moor
der_alte_moor;Der alte Moor
karl_von_moor;Karl von Moor
spiegelberg;Spiegelberg
roller;Roller
grimm;Grimm
schwarz;Schwarz
schufterle;Schufterle
razmann;Razmann
schweizer;Schweizer
amalia;Amalia
hermann;Hermann
daniel;Daniel
einer_von_der_bande;Einer von der Bande
ein_zweiter;Ein Zweiter
ein_dritter;Ein Dritter
pater;Pater
kosinsky;Kosinsky
die_räuber;Die Räuber
bedienter;Bedienter
moser;Moser
volk;Volk
ein_räuber;Ein Räuber
ein_alter_räuber;Ein alter Räuber
ein_dritter_räuber;Ein dritter Räuber
