Source;Target;Type;Weight
cathrine;herr_von_muckersdorff;Undirected;2
frau_glaubeleichtin;herr_von_muckersdorff;Undirected;3
herr_glaubeleicht;jungfer_luischen;Undirected;1
frau_seuffzerin;herr_wackermann;Undirected;1
herr_glaubeleicht;herr_liebmann;Undirected;1
cathrine;herr_wackermann;Undirected;2
frau_zanckenheimin;herr_scheinfromm;Undirected;2
frau_glaubeleichtin;herr_glaubeleicht;Undirected;1
der_diener;frau_glaubeleichtin;Undirected;1
herr_liebmann;herr_wackermann;Undirected;1
jungfer_dorchen;jungfer_luischen;Undirected;3
der_advocat;herr_wackermann;Undirected;1
cathrine;jungfer_dorchen;Undirected;2
frau_glaubeleichtin;frau_seuffzerin;Undirected;6
frau_glaubeleichtin;herr_liebmann;Undirected;1
herr_wackermann;jungfer_luischen;Undirected;2
frau_ehrlichen;frau_glaubeleichtin;Undirected;1
frau_glaubeleichtin;jungfer_luischen;Undirected;5
frau_zanckenheimin;herr_wackermann;Undirected;1
frau_glaubeleichtin;jacob;Undirected;1
frau_bettelsackin;frau_glaubeleichtin;Undirected;1
frau_zanckenheimin;jacob;Undirected;1
frau_glaubeleichtin;jungfer_dorchen;Undirected;2
der_advocat;jungfer_luischen;Undirected;1
frau_glaubeleichtin;herr_scheinfromm;Undirected;9
herr_von_muckersdorff;herr_wackermann;Undirected;2
frau_glaubeleichtin;frau_zanckenheimin;Undirected;6
herr_glaubeleicht;jungfer_dorchen;Undirected;1
frau_ehrlichen;frau_seuffzerin;Undirected;1
herr_liebmann;jungfer_dorchen;Undirected;2
herr_scheinfromm;jungfer_luischen;Undirected;3
frau_seuffzerin;jacob;Undirected;1
cathrine;frau_bettelsackin;Undirected;1
der_advocat;herr_scheinfromm;Undirected;2
frau_ehrlichen;frau_zanckenheimin;Undirected;1
herr_scheinfromm;herr_wackermann;Undirected;2
cathrine;herr_scheinfromm;Undirected;4
cathrine;jungfer_luischen;Undirected;8
cathrine;herr_glaubeleicht;Undirected;2
herr_von_muckersdorff;jungfer_luischen;Undirected;2
herr_glaubeleicht;herr_wackermann;Undirected;1
der_advocat;herr_von_muckersdorff;Undirected;1
cathrine;der_advocat;Undirected;1
frau_seuffzerin;herr_scheinfromm;Undirected;2
der_advocat;frau_glaubeleichtin;Undirected;1
cathrine;herr_liebmann;Undirected;3
frau_ehrlichen;herr_scheinfromm;Undirected;1
herr_scheinfromm;herr_von_muckersdorff;Undirected;4
frau_seuffzerin;frau_zanckenheimin;Undirected;6
herr_liebmann;jungfer_luischen;Undirected;1
der_diener;herr_scheinfromm;Undirected;1
frau_glaubeleichtin;herr_wackermann;Undirected;7
cathrine;frau_glaubeleichtin;Undirected;7
