Source;Target;Type;Weight
goetz;max_stumpf;Undirected;1
goetz;link;Undirected;2
erster_reiter_bamberg;zweiter_reiter_bamberg;Undirected;1
zweite_zigeunerin;zweiter_zigeuner;Undirected;1
knechte_bei_tische;lerse;Undirected;1
sticks;wolf;Undirected;1
goetz;weislingen;Undirected;3
goetz;schricks;Undirected;1
lerse;maria;Undirected;2
gerichtsdiener;schreiber;Undirected;1
knab;zigeunerhauptmann;Undirected;1
goetz;zweiter_zigeuner;Undirected;1
schreiber;wache;Undirected;1
adelheid;liebetraut;Undirected;2
goetz;metzler;Undirected;2
elisabeth;gerichtsdiener;Undirected;1
georg;goetz;Undirected;12
zweiter_reiter_bamberg;zweiter_reiter_berlichingen;Undirected;1
adelheid;weislingen;Undirected;3
gerichtsdiener;goetz;Undirected;2
selbitz;vierter_ritter;Undirected;1
hauptmann;lerse;Undirected;1
georg;sickingen;Undirected;1
franz;maria;Undirected;2
zigeunerhauptmann;zigeunerin;Undirected;1
sievers;zweiter_reiter_bamberg;Undirected;1
dritter_zigeuner;wolf;Undirected;1
goetz;knecht_jagsthausen;Undirected;1
bote;weislingen;Undirected;1
erster_reiter_berlichingen;zweiter_reiter_berlichingen;Undirected;1
bauer_bauernkrieg;metzler;Undirected;1
lerse;vierter_ritter;Undirected;1
alter;weib;Undirected;1
erster_rat;gerichtsdiener;Undirected;1
liebetraut;olearius;Undirected;1
fuenfter_ritter;hauptmann;Undirected;1
knecht_jagsthausen;sickingen;Undirected;1
metzler;wild;Undirected;1
metzler;weislingen;Undirected;1
goetz;knecht_belagerung_kueche;Undirected;1
goetz;hauptmann;Undirected;1
link;max_stumpf;Undirected;1
maria;reiter;Undirected;1
elisabeth;maria;Undirected;4
metzler;unbekannter;Undirected;1
lerse;zweiter_knecht;Undirected;1
sievers;zweiter_reiter_berlichingen;Undirected;1
erster_zigeuner;zweiter_zigeuner;Undirected;1
goetz;lerse;Undirected;6
zigeunerhauptmann;zweite_zigeunerin;Undirected;1
elisabeth;karl;Undirected;1
erster_offizier;hauptmann;Undirected;1
kaiser;zweiter_kaufmann;Undirected;1
adelheid;franz;Undirected;4
georg;martin;Undirected;1
braeutigam;brautvater;Undirected;1
goetz;wache;Undirected;1
sticks;zigeunerhauptmann;Undirected;1
dritter_zigeuner;zigeunermutter;Undirected;1
aeltester;klaeger;Undirected;1
knab;zweite_zigeunerin;Undirected;1
aeltester;richter_des_heimlichen_gerichts;Undirected;1
wirt;zweiter_reiter_berlichingen;Undirected;1
erster_rat;hauptmann;Undirected;1
adelheid;lerse;Undirected;1
georg;lerse;Undirected;5
goetz;reiter;Undirected;1
erster_zigeuner;goetz;Undirected;1
erster_bauer;unbekannter;Undirected;1
erster_knecht;lerse;Undirected;1
metzler;wirt;Undirected;1
erster_rat;ratsherr;Undirected;1
elisabeth;sickingen;Undirected;1
elisabeth;knecht_jagsthausen;Undirected;1
maria;sickingen;Undirected;2
abt;ein_bedienter;Undirected;1
kohl;weislingen;Undirected;1
bischof;liebetraut;Undirected;2
goetz;zweiter_reichsknecht;Undirected;1
