Id;Label
wendla;Wendla
frau_bergmann;Frau Bergmann
melchior;Melchior
otto;Otto
moritz;Moritz Stiefel
georg;Georg
robert;Robert
ernst;Ernst
martha;Martha
thea;Thea
laemmermeier;Lämmermeier
haenschen_rilow;Hänschen Rilow
knochenbruch;Knochenbruch
hungergurt;Hungergurt
frau_gabor;Frau Gabor
ilse;Ilse
sonnenstich;Sonnenstich
knueppeldick;Knüppeldick
zungenschlag;Zungenschlag
habebald;Habebald
fliegentod;Fliegentod
pastor_kahlbauch;Pastor Kahlbauch
rentier_stiefel;Rentier Stiefel
onkel_probst;Onkel Probst
freund_ziegenmelker;Freund Ziegenmelker
herr_gabor;Herr Gabor
diethelm;Diethelm
reinhold;Reinhold
ruprecht;Ruprecht
helmuth;Helmuth
gaston;Gaston
dr_prokrustes;Dr. Prokrustes
der_schlossermeister;Der Schlossermeister
dr_brausepulver;Dr. von Brausepulver
ina;Ina
der_vermummte_herr;Der vermummte Herr
