Source;Target;Type;Weight
alle_3-4;martin;Undirected;1
frey;josepha;Undirected;1
atzwanger;herwig;Undirected;1
martin;stoetzl;Undirected;2
frey;hedwig;Undirected;4
martin;stolzenthaler;Undirected;1
anna;martin;Undirected;1
sedlberger;stoetzl;Undirected;2
barbara;schoen;Undirected;1
kraft;werner;Undirected;1
johann;katscher;Undirected;1
hoeller;martin;Undirected;1
josepha;schoen;Undirected;2
hoeller;stolzenthaler;Undirected;1
kraft;seeburger;Undirected;1
frey;mostinger;Undirected;1
barbara;stoetzl;Undirected;3
seeburger;stoeber;Undirected;1
johann;stolzenthaler;Undirected;1
alle_3-4;mostinger;Undirected;1
katscher;martin;Undirected;1
johann;josepha;Undirected;4
seeburger;sidonie;Undirected;1
johann;sedlberger;Undirected;1
berger;minna;Undirected;1
atzwanger;eduard;Undirected;2
hedwig;josepha;Undirected;2
herwig;schalanter;Undirected;1
hedwig;stoeber;Undirected;1
eduard;josepha;Undirected;1
frey;stille;Undirected;1
berger;johann;Undirected;1
schalanter;schoen;Undirected;2
martin;tomerl;Undirected;1
barbara;johann;Undirected;7
eduard;hedwig;Undirected;1
alle_3-4;josepha;Undirected;1
hedwig;hutterer;Undirected;2
anna;schoen;Undirected;8
frey;stoeber;Undirected;1
eduard;hutterer;Undirected;2
josepha;sedlberger;Undirected;2
frey;werner;Undirected;1
frey;kraft;Undirected;1
frey;sidonie;Undirected;2
anna;beller;Undirected;1
katscher;stoetzl;Undirected;2
berger;frey;Undirected;1
minna;stille;Undirected;1
kraft;stoeber;Undirected;1
hedwig;werner;Undirected;1
anna;josepha;Undirected;1
martin;stoeber;Undirected;1
johann;schalanter;Undirected;3
barbara;schalanter;Undirected;7
barbara;martin;Undirected;3
barbara;mostinger;Undirected;3
johann;stoetzl;Undirected;1
berger;stille;Undirected;1
johann;martin;Undirected;1
johann;minna;Undirected;1
alle_3-4;barbara;Undirected;1
josepha;tomerl;Undirected;1
barbara;stolzenthaler;Undirected;1
alle_3-4;schalanter;Undirected;1
hedwig;stolzenthaler;Undirected;1
frey;johann;Undirected;1
alle_3-4;frey;Undirected;1
seeburger;werner;Undirected;1
herwig;josepha;Undirected;1
katscher;sedlberger;Undirected;1
frey;minna;Undirected;1
alle_3-4;stoetzl;Undirected;1
schalanter;stolzenthaler;Undirected;1
hedwig;resi;Undirected;1
johann;stille;Undirected;1
frey;sedlberger;Undirected;1
anna;hutterer;Undirected;2
martin;sidonie;Undirected;1
frey;schalanter;Undirected;1
josepha;schalanter;Undirected;6
josepha;sidonie;Undirected;1
barbara;katscher;Undirected;2
martin;schoen;Undirected;1
eduard;sidonie;Undirected;1
frey;hutterer;Undirected;3
martin;sedlberger;Undirected;1
frey;martin;Undirected;2
barbara;sedlberger;Undirected;2
schalanter;sedlberger;Undirected;2
alle_3-4;sedlberger;Undirected;1
hutterer;stolzenthaler;Undirected;1
hedwig;sidonie;Undirected;3
katscher;schalanter;Undirected;2
frey;seeburger;Undirected;1
herwig;martin;Undirected;2
barbara;frey;Undirected;1
johann;mostinger;Undirected;2
eduard;schalanter;Undirected;1
stoeber;werner;Undirected;1
hedwig;kraft;Undirected;1
hedwig;seeburger;Undirected;1
martin;seeburger;Undirected;1
eduard;schoen;Undirected;5
hutterer;sidonie;Undirected;4
schoen;sidonie;Undirected;1
josepha;katscher;Undirected;2
eduard;martin;Undirected;3
mostinger;stoetzl;Undirected;2
katscher;mostinger;Undirected;1
resi;sidonie;Undirected;1
johann;michel;Undirected;1
resi;stolzenthaler;Undirected;1
josepha;stolzenthaler;Undirected;1
kraft;martin;Undirected;1
eduard;herwig;Undirected;1
martin;mostinger;Undirected;1
anna;eduard;Undirected;4
sidonie;stolzenthaler;Undirected;1
frey;stoetzl;Undirected;1
martin;werner;Undirected;1
hutterer;josepha;Undirected;1
josepha;mostinger;Undirected;2
hoeller;schalanter;Undirected;1
anna;schalanter;Undirected;2
mostinger;schalanter;Undirected;3
schalanter;stoetzl;Undirected;3
mostinger;sedlberger;Undirected;2
barbara;michel;Undirected;1
anna;barbara;Undirected;1
hedwig;schoen;Undirected;1
atzwanger;martin;Undirected;2
kraft;sidonie;Undirected;1
hedwig;martin;Undirected;2
barbara;josepha;Undirected;7
hutterer;resi;Undirected;1
josepha;stoetzl;Undirected;3
sidonie;werner;Undirected;1
hutterer;schoen;Undirected;3
josepha;martin;Undirected;6
martin;schalanter;Undirected;8
sidonie;stoeber;Undirected;1
