Id;Label
jenni;Jenni
kuoni;Kuoni
werni;Werni
ruodi;Ruodi
seppi;Seppi
baumgarten;Konrad Baumgarten
tell;Wilhelm Tell
erster_reiter;Erster Reiter
zweiter_reiter;Zweiter Reiter
pfeiffer;Pfeiffer von Luzern
stauffacher;Werner Stauffacher
gertrud;Gertrud
fronvogt;Fronvogt
erster_gesell;Erster Gesell
alter_mann;Alter Mann
zweiter_gesell;Zweiter Gesell
gesellen;Gesellen
meister_steinmetz;Meister Steinmetz
ausrufer;Ausrufer
berta;Berta von Bruneck
melchthal;Arnold vom Melchthal
walter_fuerst;Walter Fürst
rudenz;Ulrich von Rudenz
attinghausen;Attinghausen
winkelried;Struth von Winkelried
sewa;Arnold von Sewa
meier;Meier von Sarnen
am_buehel;Burkhardt am Bühel
von_der_fluee;Klaus von der Flüe
alle_2-2;Alle (II/2)
konrad_hunn;Konrad Hunn
auf_der_mauer;Hans auf der Mauer
roesselmann;Rösselmann
sigrist;Sigrist
im_hofe;Jörg im Hofe
reding;Itel Reding
jost_von_weiler;Jost von Weiler
walter_tell;Walter
hedwig;Hedwig
wilhelm;Wilhelm
friesshardt;Friesshardt
leuthold;Leuthold
mechthild;Mechthild
elsbet;Elsbet
noch_drei_landleute;Noch drei Landleute
weiber;Weiber
rudolf_der_harras;Rudolf der Harras
gessler;Hermann Gessler
viele_stimmen_3-3;Viele Stimmen (III/3)
landleute_3-3;Landleute (III/3)
kunz;Kunz
stuessi;Stüssi
wanderer;Wanderer
armgard;Armgard
volk;Volk
viele_stimmen_4-3;Viele Stimmen (IV/3)
alle_4-3;Alle (IV/3)
barmherzige_brueder;Barmherzige Brüder
alle_5-1;Alle (V/1)
stier_von_uri;Der Stier von Uri
kinder;Kinder
mehrere_stimmen;Mehrere Stimmen
landleute_5-1;Landleute (V/1)
viele_stimmen_5-1;Viele Stimmen (V/1)
moench_parricida;Johannes Parricida (Mönch)
alle_5-3;Alle (V/3)
landleute_5-3;Landleute (V/3)
