Id;Label
sievers;Sievers
wirt;Wirt
metzler;Metzler
erster_reiter_bamberg;Erster Bamberger Reiter
zweiter_reiter_bamberg;Zweiter Bamberger Reiter
erster_reiter_berlichingen;Erster Berlichingscher Reiter
zweiter_reiter_berlichingen;Zweiter Berlichingscher Reiter
goetz;Götz
georg;Georg
martin;Martin
karl;Karl
maria;Maria
elisabeth;Elisabeth
reiter;Reiter
weislingen;Weislingen
bischof;Bischof
olearius;Olearius
abt;Abt
liebetraut;Liebetraut
ein_bedienter;Ein Bedienter
franz;Franz
adelheid;Adelheid
selbitz;Selbitz
kammerfraeulein;Kammerfräulein
brautvater;Brautvater
braeutigam;Bräutigam
bauer_bauernhochzeit;Bauer (Bauernhochzeit)
erster_kaufmann;Erster Kaufmann
zweiter_kaufmann;Zweiter Kaufmann
kaiser;Kaiser
sickingen;Sickingen
hauptmann;Hauptmann
erster_offizier;Erster Offizier
zweiter_offizier;Zweiter Offizier
lerse;Lerse
erster_reichsknecht;Erster Reichsknecht
zweiter_reichsknecht;Zweiter Reichsknecht
erster_ritter;Erster Ritter
zweiter_ritter;(Zweiter) Ritter
dritter_ritter;(Dritter) Ritter
vierter_ritter;(Vierter) Ritter
erster_knecht;Erster Knecht
zweiter_knecht;Zweiter Knecht
fuenfter_ritter;(Fünfter) Ritter
knecht_jagsthausen;Knecht
knecht_belagerung_kueche;Knecht
knechte_bei_tische;Knechte bei Tische
gerichtsdiener;Gerichtsdiener
ratsherr;Ratsherr
erster_rat;Erster Rat
schreiber;Schreiber
wache;Wache
alter;Alter
weib;Weib
mutter;Mutter
link;Link
bauer_bauernkrieg;Bauer (Bauernkrieg)
max_stumpf;Max Stumpf
kohl;Kohl
wild;Wild
bote;Bote
unbekannter;Ein Unbekannter
erster_bauer;Erster Bauer
zweiter_bauer;Zweiter Bauer
zigeunermutter;Zigeunermutter
knab;Knab
zweite_zigeunerin;Zweite Zigeunerin
zigeunerhauptmann;Zigeunerhauptmann
erster_zigeuner;Erster Zigeuner
zweiter_zigeuner;Zweiter Zigeuner
dritter_zigeuner;Dritter Zigeuner
wolf;Wolf
sticks;Sticks
schricks;Schricks
zigeunerin;Zigeunerin
aeltester;Ältester
richter_des_heimlichen_gerichts;Die Richter des heimlichen Gerichts
rufer;Rufer
klaeger;Kläger
