Id;Label
danton;Danton
julie;Julie
eine_dame;Eine Dame
herault;Hérault
camille;Camille
philippeau;Philippeau
simon;Simon
simons_weib;Simons Weib
ein_weib_1-2;Ein Weib
leute;Leute
erster_buerger_1-2;Erster Bürger (I/2)
zweiter_buerger_1-2;Zweiter Bürger (I/2)
dritter_buerger_1-2;Dritter Bürger (I/2)
alle_1-2;Alle (I/2)
einige_stimmen_1-2a;Einige Stimmen (I/2)
junger_mensch;Junger Mensch
einige_1-2;Einige (I/2)
die_umstehenden;Die Umstehenden
einige_stimmen_1-2b;Einige Stimmen (I/2)
robespierre;Robespierre
einige_stimmen_1-2c;Einige Stimmen (I/2)
viele_stimmen_1-2;Viele Stimmen (I/2)
ein_lyoner;Ein Lyoner
ein_jakobiner;Ein Jakobiner
legendre;Legendre
einige_stimmen_1-3;Einige Stimmen (I/3)
collot_d_herbois;Collot d'Herbois
die_jakobiner;Die Jakobiner
viele_stimmen_1-3;Viele Stimmen (I/3)
praesident_jakobinerklub;Präsident (Jakobinerklub)
lacroix;Lacroix
marion;Marion
rosalie;Rosalie
adelaide;Adelaide
paris;Paris
st_just;St. Just
ein_buerger_2-2;Ein Bürger (II/2)
baenkelsaenger;Bänkelsänger
ein_bettler;Ein Bettler
erster_herr;Erster Herr
zweiter_herr;Zweiter Herr
soldat;Soldat
junger_herr;Junger Herr
madame;Madame
eugenie;Eugenie
lucile;Lucile
erster_buerger_2-6;Erster Bürger (II/6)
zweiter_buerger_2-6;Zweiter Bürger (II/6)
die_andern;Die Andern
ein_deputierter_a;Ein Deputierter
ein_anderer_deputierter_a;Ein anderer Deputierter
ein_anderer_deputierter_b;Ein anderer Deputierter
praesident_nationalkonvent;Präsident (Nationalkonvent)
einige_stimmen_2-7;Einige Stimmen (II/7)
ein_deputierter_b;Ein Deputierter
ein_anderer_deputierter_c;Ein anderer Deputierter
ein_anderer_deputierter_d;Ein anderer Deputierter
ein_anderer_deputierter_e;Ein anderer Deputierter
ein_anderer_deputierter_f;Ein anderer Deputierter
ein_anderer_deputierter_g;Ein anderer Deputierter
chaumette;Chaumette
payne;Payne
mercier;Mercier
ein_gefangener;Ein Gefangener
ein_andrer_gefangener_a;Ein andrer Gefangener
ein_andrer_gefangener_b;Ein andrer Gefangener
einige_stimmen_3-1;Einige Stimmen (III/1)
fouquier;Fouquier
herman;Herman
der_gefangne_3-3;Der Gefangne (III/3)
dillon;Dillon
laflotte;Laflotte
waerter;Wärter
barere;Barère
billaud;Billaud
schliesser;Ein Schließer
amar;Amar
vouland;Vouland
viele_stimmen_3-9a;Viele Stimmen (III/9)
viele_stimmen_3-9b;Viele Stimmen (III/9)
einige_stimmen_3-10;Einige Stimmen (III/10)
erster_buerger_3-10;Erster Bürger (III/10)
einige_weiber;Einige Weiber
zweiter_buerger_3-10;Zweiter Bürger (III/10)
alle_3-10;Alle (III/10)
buerger_4-1;Bürger (IV/1)
dumas;Dumas
erster_fuhrmann;Erster Fuhrmann
zweiter_fuhrmann;Zweiter Fuhrmann
ein_weib_4-4;Ein Weib (IV/4)
eine_stimme_4-5;Eine Stimme (IV/5)
ein_weib_mit_kindern;Ein Weib mit Kindern
ein_weib_4-7a;Ein Weib (IV/7)
eine_andere;Eine Andere
ein_weib_4-7b;Ein Weib (IV/7)
einige_stimmen_4-7;Einige Stimmen (IV/7)
fabre;Fabre
erstes_weib;Erstes Weib
zweites_weib;Zweites Weib
drittes_weib;Drittes Weib
erster_henker;Erster Henker
zweiter_henker;Zweiter Henker
ein_buerger_4-9;Ein Bürger (IV/9)
