Source;Target;Type;Weight
dritter_buerger_1-2;simons_weib;Undirected;1
einige_stimmen_2-7;legendre;Undirected;1
lucile;schliesser;Undirected;1
erster_herr;simon;Undirected;1
danton;erster_herr;Undirected;1
ein_anderer_deputierter_f;legendre;Undirected;1
einige_stimmen_3-1;mercier;Undirected;1
dritter_buerger_1-2;einige_stimmen_1-2b;Undirected;1
chaumette;einige_stimmen_3-1;Undirected;1
ein_anderer_deputierter_b;robespierre;Undirected;1
ein_andrer_gefangener_b;einige_stimmen_3-1;Undirected;1
robespierre;simon;Undirected;1
collot_d_herbois;robespierre;Undirected;1
adelaide;marion;Undirected;1
collot_d_herbois;die_jakobiner;Undirected;1
junger_herr;rosalie;Undirected;1
chaumette;ein_gefangener;Undirected;1
ein_weib_4-7a;ein_weib_mit_kindern;Undirected;1
danton;eine_dame;Undirected;1
ein_lyoner;robespierre;Undirected;1
camille;danton;Undirected;9
baenkelsaenger;junger_herr;Undirected;1
die_andern;simon;Undirected;1
herault;lacroix;Undirected;4
simons_weib;viele_stimmen_1-2;Undirected;1
dritter_buerger_1-2;zweiter_buerger_1-2;Undirected;1
danton;einige_stimmen_3-1;Undirected;1
erster_buerger_1-2;zweiter_buerger_1-2;Undirected;1
ein_weib_1-2;einige_stimmen_1-2b;Undirected;1
lacroix;mercier;Undirected;2
ein_anderer_deputierter_d;st_just;Undirected;1
einige_1-2;junger_mensch;Undirected;1
einige_stimmen_1-2a;simons_weib;Undirected;1
lacroix;schliesser;Undirected;1
buerger_4-1;dumas;Undirected;1
madame;soldat;Undirected;1
rosalie;soldat;Undirected;1
die_umstehenden;dritter_buerger_1-2;Undirected;1
ein_weib_mit_kindern;fabre;Undirected;1
eugenie;madame;Undirected;1
fouquier;viele_stimmen_3-9b;Undirected;1
ein_weib_4-7a;philippeau;Undirected;1
camille;ein_gefangener;Undirected;1
erster_buerger_1-2;viele_stimmen_1-2;Undirected;1
einige_stimmen_2-7;robespierre;Undirected;1
ein_weib_1-2;einige_1-2;Undirected;1
einige_stimmen_3-10;zweiter_buerger_3-10;Undirected;1
chaumette;lacroix;Undirected;1
billaud;collot_d_herbois;Undirected;1
ein_deputierter_b;legendre;Undirected;1
junger_herr;simon;Undirected;1
ein_bettler;junger_herr;Undirected;1
alle_1-2;simon;Undirected;1
danton;soldat;Undirected;1
ein_anderer_deputierter_a;ein_anderer_deputierter_e;Undirected;1
eine_dame;julie;Undirected;1
camille;ein_weib_4-4;Undirected;1
praesident_nationalkonvent;st_just;Undirected;1
barere;billaud;Undirected;1
camille;schliesser;Undirected;2
camille;eine_dame;Undirected;1
danton;marion;Undirected;1
einige_stimmen_1-2a;leute;Undirected;1
danton;viele_stimmen_3-9a;Undirected;1
camille;fabre;Undirected;1
die_umstehenden;simon;Undirected;1
erster_fuhrmann;lucile;Undirected;1
leute;viele_stimmen_1-2;Undirected;1
baenkelsaenger;madame;Undirected;1
einige_stimmen_3-10;einige_weiber;Undirected;1
einige_stimmen_3-1;payne;Undirected;1
camille;chaumette;Undirected;1
lucile;zweiter_fuhrmann;Undirected;1
ein_anderer_deputierter_e;robespierre;Undirected;1
einige_stimmen_2-7;praesident_nationalkonvent;Undirected;1
alle_1-2;robespierre;Undirected;1
einige_stimmen_1-2a;junger_mensch;Undirected;1
schliesser;zweiter_fuhrmann;Undirected;1
einige_1-2;zweiter_buerger_1-2;Undirected;1
ein_anderer_deputierter_e;st_just;Undirected;1
alle_3-10;erster_buerger_3-10;Undirected;1
camille;philippeau;Undirected;6
danton;lucile;Undirected;1
ein_anderer_deputierter_c;ein_anderer_deputierter_e;Undirected;1
erster_herr;eugenie;Undirected;1
barere;schliesser;Undirected;1
die_andern;erster_buerger_2-6;Undirected;1
ein_weib_4-7a;einige_stimmen_4-7;Undirected;1
leute;simon;Undirected;1
dritter_buerger_1-2;einige_stimmen_1-2c;Undirected;1
ein_weib_4-7b;ein_weib_mit_kindern;Undirected;1
danton;lacroix;Undirected;8
danton;fouquier;Undirected;1
danton;einige_stimmen_4-7;Undirected;1
ein_anderer_deputierter_g;ein_deputierter_b;Undirected;1
ein_bettler;ein_buerger_2-2;Undirected;1
ein_gefangener;mercier;Undirected;1
ein_deputierter_a;einige_stimmen_2-7;Undirected;1
die_umstehenden;junger_mensch;Undirected;1
camille;ein_andrer_gefangener_a;Undirected;1
ein_weib_4-7a;fabre;Undirected;1
alle_3-10;zweiter_buerger_3-10;Undirected;1
ein_anderer_deputierter_b;ein_anderer_deputierter_g;Undirected;1
einige_stimmen_1-2b;viele_stimmen_1-2;Undirected;1
ein_anderer_deputierter_f;praesident_nationalkonvent;Undirected;1
madame;simon;Undirected;1
einige_stimmen_2-7;st_just;Undirected;1
ein_anderer_deputierter_b;ein_anderer_deputierter_c;Undirected;1
lacroix;paris;Undirected;2
danton;paris;Undirected;2
ein_anderer_deputierter_g;st_just;Undirected;1
ein_deputierter_b;robespierre;Undirected;1
ein_anderer_deputierter_a;ein_anderer_deputierter_c;Undirected;1
ein_anderer_deputierter_b;legendre;Undirected;1
danton;ein_weib_4-7b;Undirected;1
ein_lyoner;praesident_jakobinerklub;Undirected;1
erster_buerger_1-2;junger_mensch;Undirected;1
ein_anderer_deputierter_e;legendre;Undirected;1
barere;collot_d_herbois;Undirected;1
die_umstehenden;robespierre;Undirected;1
ein_weib_4-7a;lacroix;Undirected;1
die_umstehenden;einige_stimmen_1-2c;Undirected;1
ein_deputierter_b;st_just;Undirected;1
ein_weib_mit_kindern;philippeau;Undirected;1
dritter_buerger_1-2;simon;Undirected;1
fouquier;viele_stimmen_3-9a;Undirected;1
ein_jakobiner;legendre;Undirected;1
chaumette;philippeau;Undirected;1
ein_jakobiner;einige_stimmen_1-3;Undirected;1
ein_anderer_deputierter_c;robespierre;Undirected;1
ein_buerger_4-9;zweiter_henker;Undirected;1
herault;philippeau;Undirected;4
danton;madame;Undirected;1
eugenie;simon;Undirected;1
madame;rosalie;Undirected;1
einige_stimmen_4-7;philippeau;Undirected;1
baenkelsaenger;ein_buerger_2-2;Undirected;1
marion;paris;Undirected;1
herault;payne;Undirected;1
dillon;laflotte;Undirected;1
alle_1-2;einige_stimmen_1-2b;Undirected;1
lacroix;legendre;Undirected;1
alle_1-2;junger_mensch;Undirected;1
ein_anderer_deputierter_c;ein_anderer_deputierter_f;Undirected;1
einige_stimmen_3-1;lacroix;Undirected;1
erster_buerger_1-2;robespierre;Undirected;1
ein_anderer_deputierter_f;ein_deputierter_b;Undirected;1
die_jakobiner;praesident_jakobinerklub;Undirected;1
ein_weib_4-4;lucile;Undirected;1
ein_andrer_gefangener_a;einige_stimmen_3-1;Undirected;1
ein_buerger_2-2;rosalie;Undirected;1
ein_lyoner;einige_stimmen_1-3;Undirected;1
ein_bettler;zweiter_herr;Undirected;1
ein_gefangener;lacroix;Undirected;1
chaumette;payne;Undirected;1
danton;st_just;Undirected;1
eine_andere;herault;Undirected;1
lacroix;marion;Undirected;1
die_umstehenden;ein_weib_1-2;Undirected;1
ein_anderer_deputierter_a;ein_anderer_deputierter_f;Undirected;1
danton;eine_andere;Undirected;1
danton;junger_herr;Undirected;1
alle_1-2;ein_weib_1-2;Undirected;1
camille;ein_weib_mit_kindern;Undirected;1
simons_weib;zweiter_buerger_1-2;Undirected;1
danton;herault;Undirected;5
robespierre;viele_stimmen_1-2;Undirected;1
ein_weib_1-2;einige_stimmen_1-2a;Undirected;1
einige_stimmen_1-2c;zweiter_buerger_1-2;Undirected;1
junger_mensch;zweiter_buerger_1-2;Undirected;1
camille;eine_stimme_4-5;Undirected;1
ein_andrer_gefangener_b;philippeau;Undirected;1
erster_henker;zweiter_henker;Undirected;1
fouquier;herman;Undirected;1
danton;ein_buerger_2-2;Undirected;1
erster_henker;lucile;Undirected;1
fouquier;vouland;Undirected;1
ein_weib_4-7b;einige_stimmen_4-7;Undirected;1
ein_buerger_2-2;junger_herr;Undirected;1
danton;philippeau;Undirected;6
