Source;Target;Type;Weight
junger_mensch;simon;Undirected;1
collot_d_herbois;schliesser;Undirected;1
ein_anderer_deputierter_e;praesident_nationalkonvent;Undirected;1
alle_1-2;einige_stimmen_1-2c;Undirected;1
ein_buerger_4-9;lucile;Undirected;1
einige_stimmen_1-2a;einige_stimmen_1-2c;Undirected;1
ein_anderer_deputierter_a;legendre;Undirected;1
ein_andrer_gefangener_a;mercier;Undirected;1
billaud;schliesser;Undirected;1
mercier;philippeau;Undirected;1
die_jakobiner;ein_lyoner;Undirected;1
erster_buerger_1-2;simon;Undirected;1
ein_anderer_deputierter_d;robespierre;Undirected;1
einige_1-2;simon;Undirected;1
ein_bettler;erster_herr;Undirected;1
ein_anderer_deputierter_f;einige_stimmen_2-7;Undirected;1
ein_anderer_deputierter_f;ein_anderer_deputierter_g;Undirected;1
praesident_jakobinerklub;robespierre;Undirected;1
ein_weib_mit_kindern;herault;Undirected;1
einige_1-2;viele_stimmen_1-2;Undirected;1
ein_weib_1-2;leute;Undirected;1
eine_andere;lacroix;Undirected;1
ein_anderer_deputierter_b;einige_stimmen_2-7;Undirected;1
danton;julie;Undirected;2
camille;viele_stimmen_3-9a;Undirected;1
junger_mensch;robespierre;Undirected;1
alle_1-2;einige_1-2;Undirected;1
ein_anderer_deputierter_d;legendre;Undirected;1
collot_d_herbois;ein_jakobiner;Undirected;1
baenkelsaenger;zweiter_herr;Undirected;1
rosalie;simon;Undirected;1
ein_anderer_deputierter_b;ein_anderer_deputierter_d;Undirected;1
ein_anderer_deputierter_b;ein_anderer_deputierter_e;Undirected;1
barere;st_just;Undirected;1
einige_1-2;simons_weib;Undirected;1
ein_anderer_deputierter_d;ein_deputierter_a;Undirected;1
chaumette;ein_andrer_gefangener_b;Undirected;1
einige_stimmen_1-3;praesident_jakobinerklub;Undirected;1
ein_weib_mit_kindern;einige_stimmen_4-7;Undirected;1
chaumette;mercier;Undirected;1
einige_stimmen_1-2b;einige_stimmen_1-2c;Undirected;1
einige_stimmen_1-2c;viele_stimmen_1-2;Undirected;1
camille;erster_fuhrmann;Undirected;1
einige_stimmen_1-2b;erster_buerger_1-2;Undirected;1
camille;eine_andere;Undirected;1
ein_gefangener;philippeau;Undirected;1
robespierre;viele_stimmen_1-3;Undirected;1
ein_deputierter_a;legendre;Undirected;1
ein_weib_4-7b;philippeau;Undirected;1
einige_stimmen_1-2a;erster_buerger_1-2;Undirected;1
herault;schliesser;Undirected;1
einige_stimmen_4-7;lacroix;Undirected;1
rosalie;zweiter_herr;Undirected;1
collot_d_herbois;legendre;Undirected;1
ein_anderer_deputierter_c;einige_stimmen_2-7;Undirected;1
herault;mercier;Undirected;1
alle_1-2;die_umstehenden;Undirected;1
die_umstehenden;simons_weib;Undirected;1
ein_anderer_deputierter_c;ein_anderer_deputierter_d;Undirected;1
ein_deputierter_b;praesident_nationalkonvent;Undirected;1
camille;ein_andrer_gefangener_b;Undirected;1
paris;philippeau;Undirected;1
eugenie;soldat;Undirected;1
einige_stimmen_1-2a;simon;Undirected;1
ein_weib_4-4;schliesser;Undirected;1
ein_anderer_deputierter_a;praesident_nationalkonvent;Undirected;1
ein_deputierter_a;st_just;Undirected;1
ein_weib_1-2;einige_stimmen_1-2c;Undirected;1
ein_buerger_2-2;erster_herr;Undirected;1
alle_3-10;einige_weiber;Undirected;1
ein_jakobiner;praesident_jakobinerklub;Undirected;1
lacroix;rosalie;Undirected;1
einige_stimmen_1-2a;zweiter_buerger_1-2;Undirected;1
einige_stimmen_1-2c;robespierre;Undirected;1
baenkelsaenger;eugenie;Undirected;1
dritter_buerger_1-2;junger_mensch;Undirected;1
einige_stimmen_4-7;fabre;Undirected;1
ein_anderer_deputierter_e;ein_deputierter_a;Undirected;1
eine_stimme_4-5;schliesser;Undirected;1
einige_1-2;leute;Undirected;1
viele_stimmen_1-2;zweiter_buerger_1-2;Undirected;1
ein_anderer_deputierter_d;ein_anderer_deputierter_g;Undirected;1
alle_1-2;zweiter_buerger_1-2;Undirected;1
mercier;payne;Undirected;1
ein_weib_1-2;simon;Undirected;1
ein_anderer_deputierter_a;robespierre;Undirected;1
erster_buerger_3-10;zweiter_buerger_3-10;Undirected;1
chaumette;danton;Undirected;1
ein_anderer_deputierter_b;ein_deputierter_a;Undirected;1
ein_andrer_gefangener_a;philippeau;Undirected;1
eugenie;rosalie;Undirected;1
einige_1-2;robespierre;Undirected;1
erster_herr;junger_herr;Undirected;1
ein_weib_1-2;junger_mensch;Undirected;1
leute;simons_weib;Undirected;1
robespierre;zweiter_buerger_1-2;Undirected;1
einige_stimmen_3-1;philippeau;Undirected;1
einige_stimmen_1-2b;leute;Undirected;1
einige_stimmen_1-3;robespierre;Undirected;1
ein_gefangener;payne;Undirected;1
einige_stimmen_1-2a;viele_stimmen_1-2;Undirected;1
einige_stimmen_1-2b;zweiter_buerger_1-2;Undirected;1
erstes_weib;zweites_weib;Undirected;1
erster_herr;soldat;Undirected;1
die_jakobiner;ein_jakobiner;Undirected;1
eugenie;zweiter_herr;Undirected;1
alle_1-2;viele_stimmen_1-2;Undirected;1
einige_1-2;erster_buerger_1-2;Undirected;1
simon;zweiter_buerger_2-6;Undirected;1
danton;der_gefangne_3-3;Undirected;1
simon;simons_weib;Undirected;1
ein_anderer_deputierter_b;praesident_nationalkonvent;Undirected;1
ein_jakobiner;viele_stimmen_1-3;Undirected;1
ein_anderer_deputierter_f;st_just;Undirected;1
ein_weib_4-7b;herault;Undirected;1
ein_bettler;madame;Undirected;1
philippeau;schliesser;Undirected;1
ein_anderer_deputierter_d;ein_anderer_deputierter_f;Undirected;1
baenkelsaenger;erster_herr;Undirected;1
ein_weib_1-2;simons_weib;Undirected;1
madame;zweiter_herr;Undirected;1
danton;mercier;Undirected;2
dritter_buerger_1-2;einige_stimmen_1-2a;Undirected;1
junger_herr;soldat;Undirected;1
camille;julie;Undirected;1
ein_anderer_deputierter_b;st_just;Undirected;1
ein_weib_4-7a;eine_andere;Undirected;1
camille;ein_weib_4-7a;Undirected;1
camille;payne;Undirected;1
danton;ein_weib_4-7a;Undirected;1
lucile;zweiter_henker;Undirected;1
legendre;viele_stimmen_1-3;Undirected;1
ein_weib_4-4;erster_fuhrmann;Undirected;1
einige_1-2;einige_stimmen_1-2c;Undirected;1
einige_stimmen_1-2c;simon;Undirected;1
ein_anderer_deputierter_c;ein_deputierter_b;Undirected;1
camille;einige_stimmen_4-7;Undirected;1
ein_lyoner;legendre;Undirected;1
ein_buerger_2-2;soldat;Undirected;1
danton;ein_bettler;Undirected;1
drittes_weib;lucile;Undirected;1
legendre;robespierre;Undirected;2
die_jakobiner;viele_stimmen_1-3;Undirected;1
camille;lacroix;Undirected;6
die_jakobiner;einige_stimmen_1-3;Undirected;1
drittes_weib;erstes_weib;Undirected;1
praesident_nationalkonvent;robespierre;Undirected;1
julie;philippeau;Undirected;1
einige_stimmen_1-2b;simons_weib;Undirected;1
camille;zweiter_fuhrmann;Undirected;1
baenkelsaenger;danton;Undirected;1
einige_stimmen_1-2c;leute;Undirected;1
danton;ein_weib_mit_kindern;Undirected;1
adelaide;rosalie;Undirected;1
danton;ein_andrer_gefangener_b;Undirected;1
baenkelsaenger;rosalie;Undirected;1
robespierre;st_just;Undirected;2
erster_buerger_1-2;simons_weib;Undirected;1
ein_gefangener;einige_stimmen_3-1;Undirected;1
einige_stimmen_1-3;viele_stimmen_1-3;Undirected;1
baenkelsaenger;ein_bettler;Undirected;1
ein_weib_4-4;zweiter_fuhrmann;Undirected;1
lacroix;payne;Undirected;1
ein_anderer_deputierter_d;praesident_nationalkonvent;Undirected;1
die_umstehenden;zweiter_buerger_1-2;Undirected;1
danton;simon;Undirected;1
ein_buerger_2-2;eugenie;Undirected;1
ein_andrer_gefangener_a;lacroix;Undirected;1
fabre;herault;Undirected;1
ein_buerger_2-2;madame;Undirected;1
erstes_weib;lucile;Undirected;1
ein_weib_4-7a;herault;Undirected;1
ein_deputierter_b;einige_stimmen_2-7;Undirected;1
ein_weib_4-7b;fabre;Undirected;1
leute;zweiter_buerger_1-2;Undirected;1
ein_anderer_deputierter_a;ein_deputierter_a;Undirected;1
ein_deputierter_a;ein_deputierter_b;Undirected;1
junger_mensch;simons_weib;Undirected;1
ein_anderer_deputierter_d;ein_anderer_deputierter_e;Undirected;1
ein_deputierter_a;praesident_nationalkonvent;Undirected;1
camille;einige_stimmen_3-1;Undirected;1
einige_1-2;einige_stimmen_1-2b;Undirected;1
camille;viele_stimmen_3-9b;Undirected;1
eine_stimme_4-5;philippeau;Undirected;1
danton;payne;Undirected;1
ein_weib_1-2;zweiter_buerger_1-2;Undirected;1
einige_stimmen_3-1;herault;Undirected;1
junger_mensch;leute;Undirected;1
ein_weib_4-7a;ein_weib_4-7b;Undirected;1
einige_stimmen_3-10;erster_buerger_3-10;Undirected;1
danton;ein_andrer_gefangener_a;Undirected;1
eine_andere;fabre;Undirected;1
ein_buerger_2-2;zweiter_herr;Undirected;1
camille;lucile;Undirected;2
ein_deputierter_a;robespierre;Undirected;1
lacroix;philippeau;Undirected;5
einige_weiber;erster_buerger_3-10;Undirected;1
schliesser;st_just;Undirected;1
danton;eugenie;Undirected;1
danton;fabre;Undirected;1
collot_d_herbois;ein_lyoner;Undirected;1
ein_lyoner;viele_stimmen_1-3;Undirected;1
soldat;zweiter_herr;Undirected;1
alle_1-2;dritter_buerger_1-2;Undirected;1
der_gefangne_3-3;mercier;Undirected;1
ein_anderer_deputierter_a;ein_anderer_deputierter_d;Undirected;1
robespierre;simons_weib;Undirected;1
amar;fouquier;Undirected;1
einige_stimmen_1-2b;robespierre;Undirected;1
ein_andrer_gefangener_b;ein_gefangener;Undirected;1
erster_buerger_1-2;leute;Undirected;1
ein_weib_mit_kindern;eine_andere;Undirected;1
paris;rosalie;Undirected;1
eine_andere;einige_stimmen_4-7;Undirected;1
leute;robespierre;Undirected;1
die_umstehenden;einige_stimmen_1-2a;Undirected;1
ein_weib_4-7b;eine_andere;Undirected;1
ein_weib_mit_kindern;lacroix;Undirected;1
praesident_jakobinerklub;viele_stimmen_1-3;Undirected;1
ein_anderer_deputierter_e;einige_stimmen_2-7;Undirected;1
fabre;philippeau;Undirected;1
danton;eine_stimme_4-5;Undirected;1
billaud;st_just;Undirected;1
ein_anderer_deputierter_c;ein_deputierter_a;Undirected;1
ein_bettler;simon;Undirected;1
ein_andrer_gefangener_b;mercier;Undirected;1
alle_1-2;einige_stimmen_1-2a;Undirected;1
die_jakobiner;legendre;Undirected;1
ein_anderer_deputierter_a;einige_stimmen_2-7;Undirected;1
ein_weib_1-2;viele_stimmen_1-2;Undirected;1
danton;zweiter_herr;Undirected;1
ein_anderer_deputierter_c;ein_anderer_deputierter_g;Undirected;1
legendre;praesident_jakobinerklub;Undirected;1
ein_anderer_deputierter_e;ein_anderer_deputierter_f;Undirected;1
alle_3-10;einige_stimmen_3-10;Undirected;1
einige_stimmen_1-2b;simon;Undirected;1
ein_gefangener;herault;Undirected;1
marion;rosalie;Undirected;1
laflotte;waerter;Undirected;1
ein_anderer_deputierter_d;einige_stimmen_2-7;Undirected;1
camille;paris;Undirected;1
junger_mensch;viele_stimmen_1-2;Undirected;1
collot_d_herbois;st_just;Undirected;1
adelaide;paris;Undirected;1
erster_buerger_2-6;zweiter_buerger_2-6;Undirected;1
ein_bettler;eugenie;Undirected;1
adelaide;lacroix;Undirected;1
danton;herman;Undirected;1
eine_andere;philippeau;Undirected;1
dritter_buerger_1-2;robespierre;Undirected;1
danton;viele_stimmen_3-9b;Undirected;1
collot_d_herbois;einige_stimmen_1-3;Undirected;1
payne;philippeau;Undirected;1
ein_weib_1-2;robespierre;Undirected;1
ein_anderer_deputierter_a;ein_deputierter_b;Undirected;1
die_jakobiner;robespierre;Undirected;1
amar;vouland;Undirected;1
ein_anderer_deputierter_g;praesident_nationalkonvent;Undirected;1
erster_herr;rosalie;Undirected;1
simon;zweiter_buerger_1-2;Undirected;1
einige_stimmen_1-3;legendre;Undirected;1
dritter_buerger_1-2;erster_buerger_1-2;Undirected;1
ein_bettler;rosalie;Undirected;1
ein_buerger_2-2;simon;Undirected;1
ein_andrer_gefangener_a;herault;Undirected;1
adelaide;danton;Undirected;1
ein_andrer_gefangener_a;payne;Undirected;1
collot_d_herbois;viele_stimmen_1-3;Undirected;1
drittes_weib;zweites_weib;Undirected;1
danton;rosalie;Undirected;2
ein_anderer_deputierter_g;ein_deputierter_a;Undirected;1
einige_stimmen_1-2b;junger_mensch;Undirected;1
junger_herr;zweiter_herr;Undirected;1
dritter_buerger_1-2;viele_stimmen_1-2;Undirected;1
danton;ein_gefangener;Undirected;1
ein_anderer_deputierter_c;st_just;Undirected;1
ein_andrer_gefangener_b;herault;Undirected;1
einige_stimmen_1-2c;simons_weib;Undirected;1
baenkelsaenger;soldat;Undirected;1
fabre;lacroix;Undirected;1
dillon;waerter;Undirected;1
ein_andrer_gefangener_a;ein_andrer_gefangener_b;Undirected;1
die_umstehenden;viele_stimmen_1-2;Undirected;1
erster_herr;madame;Undirected;1
simon;viele_stimmen_1-2;Undirected;1
ein_anderer_deputierter_f;ein_deputierter_a;Undirected;1
camille;ein_weib_4-7b;Undirected;1
collot_d_herbois;praesident_jakobinerklub;Undirected;1
ein_anderer_deputierter_f;robespierre;Undirected;1
legendre;st_just;Undirected;1
ein_anderer_deputierter_b;ein_anderer_deputierter_f;Undirected;1
eine_dame;herault;Undirected;1
lucile;zweites_weib;Undirected;1
ein_anderer_deputierter_g;einige_stimmen_2-7;Undirected;1
die_umstehenden;einige_stimmen_1-2b;Undirected;1
ein_anderer_deputierter_g;legendre;Undirected;1
ein_anderer_deputierter_b;ein_deputierter_b;Undirected;1
ein_weib_1-2;erster_buerger_1-2;Undirected;1
ein_anderer_deputierter_g;robespierre;Undirected;1
eine_stimme_4-5;herault;Undirected;1
eugenie;junger_herr;Undirected;1
ein_anderer_deputierter_a;ein_anderer_deputierter_b;Undirected;1
einige_stimmen_1-2a;einige_stimmen_1-2b;Undirected;1
dritter_buerger_1-2;ein_weib_1-2;Undirected;1
danton;robespierre;Undirected;1
einige_stimmen_4-7;herault;Undirected;1
die_umstehenden;leute;Undirected;1
erster_herr;zweiter_herr;Undirected;1
ein_anderer_deputierter_a;st_just;Undirected;1
simon;soldat;Undirected;1
alle_1-2;erster_buerger_1-2;Undirected;1
simon;zweiter_herr;Undirected;1
viele_stimmen_3-9a;viele_stimmen_3-9b;Undirected;1
einige_stimmen_1-2c;erster_buerger_1-2;Undirected;1
einige_stimmen_1-2c;junger_mensch;Undirected;1
ein_andrer_gefangener_b;lacroix;Undirected;1
ein_anderer_deputierter_a;ein_anderer_deputierter_g;Undirected;1
erster_fuhrmann;zweiter_fuhrmann;Undirected;1
ein_andrer_gefangener_b;payne;Undirected;1
herault;julie;Undirected;1
die_andern;zweiter_buerger_2-6;Undirected;1
einige_stimmen_1-2a;robespierre;Undirected;1
erster_fuhrmann;schliesser;Undirected;1
ein_jakobiner;ein_lyoner;Undirected;1
eine_dame;philippeau;Undirected;1
baenkelsaenger;simon;Undirected;1
die_umstehenden;erster_buerger_1-2;Undirected;1
alle_1-2;leute;Undirected;1
ein_anderer_deputierter_d;ein_deputierter_b;Undirected;1
ein_anderer_deputierter_c;legendre;Undirected;1
ein_anderer_deputierter_c;praesident_nationalkonvent;Undirected;1
ein_bettler;soldat;Undirected;1
junger_herr;madame;Undirected;1
ein_andrer_gefangener_a;ein_gefangener;Undirected;1
camille;herault;Undirected;5
camille;fouquier;Undirected;1
chaumette;herault;Undirected;1
dritter_buerger_1-2;einige_1-2;Undirected;1
legendre;praesident_nationalkonvent;Undirected;1
ein_weib_4-7b;lacroix;Undirected;1
chaumette;ein_andrer_gefangener_a;Undirected;1
ein_buerger_4-9;erster_henker;Undirected;1
eine_stimme_4-5;lacroix;Undirected;1
danton;schliesser;Undirected;1
ein_anderer_deputierter_e;ein_deputierter_b;Undirected;1
die_umstehenden;einige_1-2;Undirected;1
ein_anderer_deputierter_e;ein_anderer_deputierter_g;Undirected;1
einige_1-2;einige_stimmen_1-2a;Undirected;1
einige_weiber;zweiter_buerger_3-10;Undirected;1
dritter_buerger_1-2;leute;Undirected;1
erster_buerger_2-6;simon;Undirected;1
ein_jakobiner;robespierre;Undirected;1
alle_1-2;simons_weib;Undirected;1
der_gefangne_3-3;lacroix;Undirected;1
camille;mercier;Undirected;1
