Id;Label
vorotynskij;Воротынский
shujskij;Шуйский
odin_iz_naroda_1;Один (Красная площадь)
drugoj_iz_naroda_1;Другой (Красная площадь)
tretij_iz_naroda_1;Третий (Красная площадь)
narod;Народ
schelkalov;Щелкалов
tsar_boris;Борис
bojare;Бояре
pimen;Пимен
grigorij_dimitrij_lzhedimitrij_samozvanets;Григорий
patriarh;Патриарх
igumen;Игумен
pervyj_stolnik;Первый стольник
vtoroj_stolnik;Второй стольник
hozjajka;Хозяйка
varlaam;Варлаам
misail;Мисаил
pervyj_pristav;Первый пристав
vtoroj_pristav;Второй пристав
malchik;Мальчик
pushkin;Афанасий Михайлович Пушкин
ksenija;Ксения
mamka;Мамка
feodor;Феодор
semen_godunov;Семен Годунов
pater;Pater Черниковский
gavrila_pushkin;Гаврила Пушкин
kurbskij;Курбский
poljak;Поляк
hruschov;Хрущов
karela;Карела
poet;Поэт
mnishek;Мнишек
vishnevetskij;Вишневецкий
marina;Марина
pervyj_kavaler;Кавалер
pervaja_dama;Дама
vtoraja_dama;Дама
tretja_dama;Дама
tretij_kavaler;Кавалер
basmanov;Басманов
pervyj_bojarin;Первый боярин
drugoj_bojarin;Другой боярин
voiny;Воины
marzheret;Маржерет
odin_iz_begletsov;Один из беглецов
drugoj_iz_begletsov;Другой
v_rozen;В. Розен
nemtsy;Немцы
ljahi;Ляхи
odin_iz_naroda_2;Один из народа (Площадь перед собором в Москве)
drugoj_iz_naroda_2;Другой (Площадь перед собором в Москве)
tretij_iz_naroda_2;Третий (Площадь перед собором в Москве)
chetvertyj_iz_naroda_2;Четвертый (Площадь перед собором в Москве)
malchishki;Мальчишки
staruha;Старуха
jurodivyj;Юродивый
odin_iz_malchishek;Один из них (Площадь перед собором в Москве)
ljah;Лях (Севск)
plennik;Пленник
drugoj_ljah;Другой (Севск)
ljah_les;Лях (Лес)
bojarin;Боярин
odin_pridvornyj;Один
drugoj_pridvornyj;Другой
tretij_pridvornyj;Третий
chetvertyj_pridvornyj;Четвертый
pjatyj_pridvornyj;Пятый
shestoj_pridvornyj;Шестой
muzhik_na_amvone;Мужик на амвоне
nischij;Нищий
strazha;Стража
odin_iz_naroda_3;Один из народа (Кремль)
drugoj_iz_naroda_3;Другой (Кремль)
odin_iz_naroda_4;Один из народа (Кремль)
drugoj_iz_naroda_4;Другой (Кремль)
tretij_iz_naroda_4;Третий (Кремль)
mosalskij;Мосальский
